Trade	type	date	Asset	amount	for	amount	at price	valuation	tx_id	commission	fee	KUJI ($)	fee ($)	commission ($)	ratio	inverted	premium/ROI	APR
57	SELL	2023-05-11 12:09	USK	33.8346	axlUSDC	35.0218	$0.9661	$1.0000	https://finder.kujira.app/kaiyo-1/tx/6DEC0F43B6284CAE618DC857EE356DA8C8F17675E72AEE66133947796DD75168	0.025375	0.000329	$0.642	$0.000	$0.0254	1.00	1.000001153		
58	SELL	2023-05-11 18:06	LUNA	207.6253	ampLUNA	176.2075	$1.1050	$0.9378	https://finder.kujira.app/kaiyo-1/tx/D265C37F39791AF99FF29ACDD5FD4A7C89B7F2D7EC9EF604BE12351C978945F2	0.155719	0.000361	$0.642	$0.000	$0.1460	0.94	1.066334856	1.1783	
59	SELL	2023-05-11 18:52	USK	101.3317	axlUSDC	103.7491	$0.9767	$1.0000	https://finder.kujira.app/kaiyo-1/tx/30ABDE8DA6D794ABFDDF33700AD0212F0E6BC96EC57F83A546B4CF60D587597D	0.075998	0.000326	$0.642	$0.000	$0.0760	1.00	0.9999995463	1.43%	1793.46%
60	SELL	2023-05-11 20:17	USK	1.0443	wETH	0.0006	$1,812.47	$1.0414	https://finder.kujira.app/kaiyo-1/tx/D1741C23D6B804B5DE4C8403CDFEA0B12B73B8F0E277A59B2BB3F9830E440D45	0.013328	0.000383	$0.642	$0.000	$0.0139	1.04	0.9602917566		
61	LIQUIDATION	2023-05-11 20:22	LUNA	34.7409	USK	30.0000	$1.0000	$0.8635	https://finder.kujira.app/kaiyo-1/tx/BEB2C11CF22BE3AA0CCB152335F36331B7A541D7C166CCE807F8A617293AE25F	0.173704	0.000376	$0.642	$0.000	$0.1500	0.86	1.1580284	6.33%	
62	SELL	2023-05-11 20:28	USK	97.92	axlUSDC	100	$0.9792	$1.0000	https://finder.kujira.app/kaiyo-1/tx/6C43AA43DE44BF90F68AD6977F9834400D0A8E62CB43E4829D6018AE51EA0D25	0.073439	0.000335	$0.642	$0.000	$0.0734	1.00	1		
63	SELL	2023-05-11 21:00	USK	16.7267	wETH	0.0094	$1,778.72	$0.9996	https://finder.kujira.app/kaiyo-1/tx/D1741C23D6B804B5DE4C8403CDFEA0B12B73B8F0E277A59B2BB3F9830E440D45	0	0	$0.642	$0.000	$0.0000	1.00	1.000402632		
64	SELL	2023-05-12 2:25	USK	0.7636	LINK	0.1184	$6.448	$0.9998				$0.642	$0.000	$0.0000	1.00	1.000205385		
65	SELL	2023-05-12 2:33	axlUSDC	12.7951	wETH	0.007	$1,831.53	$1.0020	https://finder.kujira.app/kaiyo-1/tx/FD1F53CA2B1FE4D7C1F43FAF3F36C2B8886E86E191DE47CEF6AFC1B6FD8D2847	0.009596	0.0005	$0.627	$0.000	$0.0096	1.00	0.9980024507	$12.40	USK-equiv
66	BUY	2023-05-12 2:33	wETH	0.019	axlUSDC	34.1813	$1.00	$1,799.0158	https://finder.kujira.app/kaiyo-1/tx/FD1F53CA2B1FE4D7C1F43FAF3F36C2B8886E86E191DE47CEF6AFC1B6FD8D2847	0.000014	0	$0.627	$0.000	$0.0252	1,799.02	0.0005558594904		
67	SELL	2023-05-12 2:57	LUNA	307.5332	ampLUNA	261.0417	$1.0630	$0.9023	https://finder.kujira.app/kaiyo-1/tx/CF489927AA8286EBF57FC29B0235FFC710A05581909486B97DB2353155D6B294	0.230649	0.000361	$0.627	$0.000	$0.2081	0.90	1.108278361	1.1781	
68	SELL	2023-05-12 8:14	USK	0.7598	LINK	0.119	$6.384	$0.9999				$0.608	$0.000	$0.0000	1.00	1.000136897		
69	SELL	2023-05-12 8:17	USK	213.4264	axlUSDC	220.0045	$0.9701	$1.0000	https://finder.kujira.app/kaiyo-1/tx/39564C757C0D0B3C850FB30276FEEA1C13E6BDCD024C4B3A5C8B6F5F8507E6F4	0.160069	0.000336	$0.608	$0.000	$0.1601	1.00	1.000000162		
70	SELL	2023-05-12 9:42	USK	43.7193	wBNB	0.1471	$296.7160	$0.9983	https://finder.kujira.app/kaiyo-1/tx/F45F91C7EE156C8AE57B345015E8778B356A22451A53132B13D71F0491221D2C	0.032789	0.000346	$0.608	$0.000	$0.0327	1.00	1.001658225		
71	SELL	2023-05-12 9:42	USK	13.0179	wBNB	0.0439	$296.4540	$0.9997	https://finder.kujira.app/kaiyo-1/tx/1FE44EAB4D3E9AA8AE40FBC3DC0BBDB732DCA863DA427C5E1891FD3604F40C08	0.009763	0.000346	$0.608	$0.000	$0.0098	1.00	1.000274267		
72	SELL	2023-05-12 10:09	axlUSDC	200.928	LUNA	224	$0.8970	$1.0000	https://finder.kujira.app/kaiyo-1/tx/387DA051A5C9DC0F10CBD3F32CD9B53C4FFFE894AB11D16F7959D7A4DF9C3C65	0.150695	0.000317	$0.608	$0.000	$0.1507	1.00	1		
73	SELL	2023-05-12 10:09	USK	210.96	LUNA	240	$0.8780	$0.9989	https://finder.kujira.app/kaiyo-1/tx/BB897C9BFD2083E8C73F98F21FD78C4A87309F495166209F656130EEA41F0A1C	0.15822	0.00031	$0.608	$0.000	$0.1580	1.00	1.001138952		
74	SELL	2023-05-12 10:09	axlUSDC	50.7859	LUNA	56	$0.9070	$1.0001	https://finder.kujira.app/kaiyo-1/tx/B58E29B3B37485597B51ACBC4D99C2557C45E80B1F828C0714A365C9916F52D5	0.038089	0.000317	$0.608	$0.000	$0.0381	1.00	0.9998799023		
75	LIQUIDATION	2023-05-12 11:42	wETH	0.0180	USK	30.0000	$1.0000	$1,667.6858	https://finder.kujira.app/kaiyo-1/tx/132B9BE25B4836148ACC835D75925A7230861CC77A37A44C6FC5A6D7DC22FC75	0.00009	0.000368	$0.608	$0.000	$0.1501	1,667.69	0.0005996333333	4.34%	
76	SELL	2023-05-12 10:09	axlUSDC	9.02	LUNA	10	$0.9020	$1.0000	https://finder.kujira.app/kaiyo-1/tx/AE918104572018956958A0698F02544EE09AF99FB66322FE6B53EA43D549FBA3	0.006764	0.000326	$0.608	$0.000	$0.0068	1.00	1		
77	BUY	2023-05-14 12:30	axlUSDC	101.335	USK	97.92	$1.0000	$0.9663	https://finder.kujira.app/kaiyo-1/tx/A7D3E2D408ACF983DCC9B93238F84817EEE49DC50A27DACB2608454B782A1A81	0.076001	0.000343	$0.659	$0.000	$0.0734	0.97	1.034875408	1.33%	729.39%
78	BUY	2023-05-15 7:26	LUNA	244.7552	USK	210	$1.0000	$0.8580	https://finder.kujira.app/kaiyo-1/tx/F57292552F9E1B74D311CB95BDD0645B5AA4FEC4EFA84AFAA78CCB4D99D53360	0.183566	0.000325	$0.646	$0.000	$0.1575	0.86	1.165500952	1.98%	250.51%
79	SELL	2023-05-15 7:37	LUNA	53.6581	ampLUNA	45.5502	$1.0540	$0.8947	https://finder.kujira.app/kaiyo-1/tx/8ABDE16639EA519A501830C78EEDDA0723BABD82BB29091AE8178A69C7F8137B	0.047892	0.000409	$0.646	$0.000	$0.0429	0.89	1.117646317	1.1780	
80	SELL	2023-05-15 7:37	LUNA	10.1994	ampLUNA	8.6583	$1.0540	$0.8947	https://finder.kujira.app/kaiyo-1/tx/8ABDE16639EA519A501830C78EEDDA0723BABD82BB29091AE8178A69C7F8137B	0	0	$0.646	$0.000	$0.0000	0.89	1.117638577	1.1780	
										charges			$0.015	$7.0850	total:	$7.0999		
